An,Ag,As,q
2.747524752475e-02,7.229738568835e-03,7.507967650342e-02,1.038483975438e+01
2.757515751575e-02,7.256028527267e-03,7.521977263735e-02,1.036652107343e+01
2.767506750675e-02,7.282318485699e-03,7.535966270065e-02,1.034830635994e+01
2.777497749775e-02,7.308608444131e-03,7.549934798195e-02,1.033019466826e+01
2.787488748875e-02,7.334898402563e-03,7.563882975756e-02,1.031218506464e+01
2.797479747975e-02,7.361188360996e-03,7.577810929169e-02,1.029427662702e+01
2.807470747075e-02,7.387478319428e-03,7.591718783655e-02,1.027646844484e+01
2.817461746175e-02,7.413768277860e-03,7.605606663255e-02,1.025875961887e+01
2.827452745275e-02,7.440058236292e-03,7.619474690843e-02,1.024114926100e+01
2.837443744374e-02,7.466348194724e-03,7.633322988139e-02,1.022363649412e+01
2.847434743474e-02,7.492638153156e-03,7.647151675729e-02,1.020622045188e+01
2.857425742574e-02,7.518928111588e-03,7.660960873076e-02,1.018890027858e+01
2.867416741674e-02,7.545218070020e-03,7.674750698531e-02,1.017167512895e+01
2.877407740774e-02,7.571508028453e-03,7.688521269356e-02,1.015454416804e+01
2.887398739874e-02,7.597797986885e-03,7.702272701728e-02,1.013750657101e+01
2.897389738974e-02,7.624087945317e-03,7.716005110759e-02,1.012056152303e+01
2.907380738074e-02,7.650377903749e-03,7.729718610507e-02,1.010370821907e+01
2.917371737174e-02,7.676667862181e-03,7.743413313988e-02,1.008694586376e+01
2.927362736274e-02,7.702957820613e-03,7.757089333193e-02,1.007027367128e+01
2.937353735374e-02,7.729247779045e-03,7.770746779095e-02,1.005369086519e+01
2.947344734473e-02,7.755537737477e-03,7.784385761667e-02,1.003719667825e+01
2.957335733573e-02,7.781827695910e-03,7.798006389890e-02,1.002079035236e+01
2.967326732673e-02,7.808117654342e-03,7.811608771768e-02,1.000447113835e+01
2.977317731773e-02,7.834407612774e-03,7.825193014339e-02,9.988238295873e+00
2.987308730873e-02,7.860697571206e-03,7.838759223685e-02,9.972091093288e+00
2.997299729973e-02,7.886987529638e-03,7.852307504948e-02,9.956028807501e+00
3.007290729073e-02,7.913277488070e-03,7.865837962336e-02,9.940050723855e+00
3.017281728173e-02,7.939567446502e-03,7.879350699138e-02,9.924156135998e+00
3.027272727273e-02,7.965857404935e-03,7.892845817735e-02,9.908344345764e+00
3.037263726373e-02,7.992147363367e-03,7.906323419607e-02,9.892614663047e+00
3.047254725473e-02,8.018437321799e-03,7.919783605350e-02,9.876966405685e+00
3.057245724572e-02,8.044727280231e-03,7.933226474679e-02,9.861398899344e+00
3.067236723672e-02,8.071017238663e-03,7.946652126447e-02,9.845911477403e+00
3.077227722772e-02,8.097307197095e-03,7.960060658648e-02,9.830503480840e+00
3.087218721872e-02,8.123597155527e-03,7.973452168429e-02,9.815174258122e+00
3.097209720972e-02,8.149887113959e-03,7.986826752102e-02,9.799923165098e+00
3.107200720072e-02,8.176177072392e-03,8.000184505154e-02,9.784749564890e+00
3.117191719172e-02,8.202467030824e-03,8.013525522253e-02,9.769652827789e+00
3.127182718272e-02,8.228756989256e-03,8.026849897260e-02,9.754632331153e+00
3.137173717372e-02,8.255046947688e-03,8.040157723238e-02,9.739687459306e+00
3.147164716472e-02,8.281336906120e-03,8.053449092462e-02,9.724817603436e+00
3.157155715572e-02,8.307626864552e-03,8.066724096428e-02,9.710022161500e+00
3.167146714671e-02,8.333916822984e-03,8.079982825858e-02,9.695300538127e+00
3.177137713771e-02,8.360206781416e-03,8.093225370717e-02,9.680652144523e+00
3.187128712871e-02,8.386496739849e-03,8.106451820213e-02,9.666076398379e+00
3.197119711971e-02,8.412786698281e-03,8.119662262811e-02,9.651572723781e+00
3.207110711071e-02,8.439076656713e-03,8.132856786240e-02,9.637140551118e+00
3.217101710171e-02,8.465366615145e-03,8.146035477500e-02,9.622779316995e+00
3.227092709271e-02,8.491656573577e-03,8.159198422872e-02,9.608488464148e+00
3.237083708371e-02,8.517946532009e-03,8.172345707927e-02,9.594267441356e+00
3.247074707471e-02,8.544236490441e-03,8.185477417530e-02,9.580115703360e+00
3.257065706571e-02,8.570526448873e-03,8.198593635852e-02,9.566032710779e+00
3.267056705671e-02,8.596816407306e-03,8.211694446376e-02,9.552017930030e+00
3.277047704770e-02,8.623106365738e-03,8.224779931904e-02,9.538070833248e+00
3.287038703870e-02,8.649396324170e-03,8.237850174565e-02,9.524190898208e+00
3.297029702970e-02,8.675686282602e-03,8.250905255825e-02,9.510377608249e+00
3.307020702070e-02,8.701976241034e-03,8.263945256490e-02,9.496630452197e+00
3.317011701170e-02,8.728266199466e-03,8.276970256715e-02,9.482948924290e+00
3.327002700270e-02,8.754556157898e-03,8.289980336012e-02,9.469332524108e+00
3.336993699370e-02,8.780846116330e-03,8.302975573257e-02,9.455780756498e+00
3.346984698470e-02,8.807136074763e-03,8.315956046696e-02,9.442293131505e+00
3.356975697570e-02,8.833426033195e-03,8.328921833952e-02,9.428869164301e+00
3.366966696670e-02,8.859715991627e-03,8.341873012032e-02,9.415508375117e+00
3.376957695770e-02,8.886005950059e-03,8.354809657333e-02,9.402210289177e+00
3.386948694869e-02,8.912295908491e-03,8.367731845650e-02,9.388974436630e+00
3.396939693969e-02,8.938585866923e-03,8.380639652182e-02,9.375800352485e+00
3.406930693069e-02,8.964875825355e-03,8.393533151536e-02,9.362687576549e+00
3.416921692169e-02,8.991165783787e-03,8.406412417737e-02,9.349635653360e+00
3.426912691269e-02,9.017455742220e-03,8.419277524233e-02,9.336644132129e+00
3.436903690369e-02,9.043745700652e-03,8.432128543898e-02,9.323712566675e+00
3.446894689469e-02,9.070035659084e-03,8.444965549042e-02,9.310840515367e+00
3.456885688569e-02,9.096325617516e-03,8.457788611418e-02,9.298027541067e+00
3.466876687669e-02,9.122615575948e-03,8.470597802221e-02,9.285273211067e+00
